SUBDIVISIONS,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,FLOOD
Churachandpur,2022,22.393846,41.954914,17.4067484,150.0352682,377.460344,373.8859334,181.6790533,254.1807328,99.3476873,55.6069081,12.8230772,14.7652344,1601.539747,NO
Churu,2022,40.6686043,7.044686,6.3224273,4.349637,21.92153911,65.433872,252.6371267,90.82162992,26.55509951,17.4060706,15.684084,12.00482793,560.8496044,NO
Coimbatore,2022,13.22870892,3.0323584,24.7701667,100.1992901,164.5480436,121.1206534,429.6029378,297.0454058,130.4808893,73.878548,108.9346105,103.270621,1570.112234,NO
Coochbehar,2022,5.6116038,56.196567,44.85816663,500.6993738,489.67887,1282.283409,297.5516659,328.6959805,317.5234779,0,11.00620889,12,3346.105323,YES
Cuddalore,2022,61.602985,45.4249033,28.0481547,42.166767,83.41177122,46.52543314,145.3607878,129.5483537,109.1068688,40.50817,209.9963572,189.5714947,1131.272046,NO
Cuttack,2022,33.611024,16.050063,3.662442,4.33727197,104.6404623,126.9824012,414.1016,434.590906,243.3036571,181.15804,11.03815311,12.31998586,1585.796007,NO
Dadra & Nagar Haveli,2022,0,0,0,0,0,0,0,0,0,96.461351,0,0,96.461351,NO
Dadra And Nagar Haveli,2022,1,2,3,4,5,177.283598,2077.656554,559.7166872,656.6833549,0,11,12.1407837,3509.480978,YES
Dahod,2022,0,0,0,0,0,0,0,0,0,63.45009755,0,0,63.45009755,NO
Dakshin Bastar Dantewada,2022,0,0,0,0,0,0,0,0,0,42.9824907,0,0,42.9824907,NO
Dakshin Dinajpur,2022,0,0,0,0,0,0,0,0,0,37.3828482,0,0,37.3828482,NO
Dakshina Kannada,2022,1.4230659,2.540879,51.00943257,114.8321892,315.7607093,463.496427,1507.24076,733.532138,333.8132751,83.1390359,41.0933489,31.15888329,3679.040144,YES
Daman,2022,1,2,3,4,5.521967,250.433658,1797.721231,470.3761474,767.6126839,50.68653039,11,13.86122896,3377.213447,YES
Damoh,2022,36.424863,2.168000319,3.345379069,4,16.43169735,165.3948209,318.911347,430.389595,163.651406,92.36762116,11,12.462256,1256.546986,NO
Dang,2022,1,2,3.334831,4,5,103.220241,693.226674,246.9782956,288.4561438,0,11.00187866,14.73019012,1372.948254,NO
Dangs,2022,0,0,0,0,0,0,0,0,0,53.966287,0,0,53.966287,NO
Dantewada,2022,33.4348196,2.05025684,3.16916,30.5382458,51.9091208,106.1553725,596.86624,488.9321707,237.4503678,0,12.486502,19.0717616,1582.064018,NO
Darbhanga,2022,4.69087913,27.0582841,3,28.41655,175.9927603,244.763239,153.7908332,247.7545672,188.0097892,105.2313632,11,12.1486096,1201.856875,NO
Darjeeling,2022,12.77936166,37.84058605,29.82560782,139.4832894,312.6259354,1019.59096,649.868443,406.4117184,348.2383412,0,12.80461181,12.83238735,2982.301242,NO
